Lane	PF_Clusters	%_of_the_lane	%_Perfect_barcode	%_One_mismatch_barcode	Yield_(Mbases)	%_PF_Clusters	%_=_Q30_bases	Mean_Quality_Score	Clusters_(Raw)	Clusters(PF)	Yield_(MBases)	Run	Sequencer
4	130111452	100.0	98.35	1.65	39294	89.77	82.98	32.24	581433330	519847761	156994	170608_NB501012_0147_AHNL2JBGX2	nextseq_umc01
1	119632409	100.0	98.14	1.86	36129	87.49	80.97	31.83	549229947	477730352	144275	170612_NB501012_0149_AHNNFJBGX2	nextseq_umc01
2	117797394	100.0	95.42	4.58	35575	86.58	79.67	31.55	549229947	477730352	144275	170612_NB501012_0149_AHNNFJBGX2	nextseq_umc01
3	122144903	100.0	98.13	1.87	36888	87.87	81.38	31.91	549229947	477730352	144275	170612_NB501012_0149_AHNNFJBGX2	nextseq_umc01
4	118155646	100.0	97.59	2.41	35683	85.98	79.18	31.44	549229947	477730352	144275	170612_NB501012_0149_AHNNFJBGX2	nextseq_umc01
1	125450707	100.0	98.39	1.61	37886	90.82	84.16	32.5	553710288	504148876	152253	170614_NB501012_0150_AHMGN7BGX2	nextseq_umc01
2	127461914	100.0	98.38	1.62	38493	91.53	84.79	32.65	553710288	504148876	152253	170614_NB501012_0150_AHMGN7BGX2	nextseq_umc01
3	125799640	100.0	98.33	1.67	37991	90.85	84.09	32.49	553710288	504148876	152253	170614_NB501012_0150_AHMGN7BGX2	nextseq_umc01
4	125436615	100.0	98.27	1.73	37882	90.99	83.57	32.4	553710288	504148876	152253	170614_NB501012_0150_AHMGN7BGX2	nextseq_umc01
1	120560656	100.0	98.04	1.96	36409	88.4	80.54	31.69	546564726	483405983	145989	170616_NB501012_0151_AHJ3LTBGX2	nextseq_umc01
2	121100949	100.0	98.08	1.92	36572	89.27	81.56	31.91	546564726	483405983	145989	170616_NB501012_0151_AHJ3LTBGX2	nextseq_umc01
3	120437078	100.0	97.79	2.21	36372	87.66	79.6	31.48	546564726	483405983	145989	170616_NB501012_0151_AHJ3LTBGX2	nextseq_umc01
4	121307300	100.0	97.89	2.11	36635	88.46	80.37	31.66	546564726	483405983	145989	170616_NB501012_0151_AHJ3LTBGX2	nextseq_umc01
1	121290198	100.0	98.14	1.86	36630	88.8	81.63	31.99	547916920	480711329	145175	170619_NB501012_0152_AHJ7HGBGX2	nextseq_umc01
2	118800050	100.0	97.7	2.3	35878	87.25	79.52	31.53	547916920	480711329	145175	170619_NB501012_0152_AHJ7HGBGX2	nextseq_umc01
3	120992666	100.0	97.79	2.21	36540	87.39	80.08	31.65	547916920	480711329	145175	170619_NB501012_0152_AHJ7HGBGX2	nextseq_umc01
4	119628415	100.0	97.74	2.26	36128	87.5	79.98	31.63	547916920	480711329	145175	170619_NB501012_0152_AHJ7HGBGX2	nextseq_umc01
1	129679332	100.0	98.05	1.95	39163	88.72	81.33	31.91	587720148	520883149	157307	170621_NB501012_0153_AHJC5MBGX2	nextseq_umc01
