Lane	PF_Clusters	%_of_the_lane	%_Perfect_barcode	%_One_mismatch_barcode	Yield_(Mbases)	%_PF_Clusters	%_=_Q30_bases	Mean_Quality_Score	Clusters_(Raw)	Clusters(PF)	Yield_(MBases)	Run	Sequencer
3	117763303	100.0	97.69	2.31	35565	89.06	81.94	32.05	530876968	474598072	143329	170915_NB501039_0170_AHMJWFBGX3	nextseq_umc02
4	116235020	100.0	97.16	2.84	35103	87.68	80.28	31.71	530876968	474598072	143329	170915_NB501039_0170_AHMJWFBGX3	nextseq_umc02
1	129984720	100.0	98.57	1.43	39255	90.17	83.91	32.48	576488528	520644519	157235	170918_NB501039_0171_AHKM7MBGX3	nextseq_umc02
2	129401273	100.0	98.46	1.54	39079	90.5	83.39	32.38	576488528	520644519	157235	170918_NB501039_0171_AHKM7MBGX3	nextseq_umc02
3	131571186	100.0	98.58	1.42	39734	90.5	83.53	32.41	576488528	520644519	157235	170918_NB501039_0171_AHKM7MBGX3	nextseq_umc02
4	129687340	100.0	98.36	1.64	39166	90.08	82.78	32.27	576488528	520644519	157235	170918_NB501039_0171_AHKM7MBGX3	nextseq_umc02
1	128024245	100.0	98.36	1.64	38663	89.61	85.03	32.65	569109621	509009124	153721	170920_NB501039_0172_AHKM55BGX3	nextseq_umc02
2	126141670	100.0	98.22	1.78	38095	89.74	84.62	32.56	569109621	509009124	153721	170920_NB501039_0172_AHKM55BGX3	nextseq_umc02
3	127783294	100.0	98.36	1.64	38591	89.44	84.52	32.55	569109621	509009124	153721	170920_NB501039_0172_AHKM55BGX3	nextseq_umc02
4	127059915	100.0	98.12	1.88	38372	88.97	83.84	32.41	569109621	509009124	153721	170920_NB501039_0172_AHKM55BGX3	nextseq_umc02
1	133360639	100.0	97.66	2.34	40275	87.81	82.86	32.2	605883234	531355305	160469	170922_NB501039_0173_AHLMHHBGX3	nextseq_umc02
2	132917474	100.0	97.52	2.48	40141	88.34	82.11	32.07	605883234	531355305	160469	170922_NB501039_0173_AHLMHHBGX3	nextseq_umc02
3	130738373	100.0	97.13	2.87	39483	86.36	80.73	31.75	605883234	531355305	160469	170922_NB501039_0173_AHLMHHBGX3	nextseq_umc02
4	134338819	100.0	97.56	2.44	40570	88.29	82.16	32.08	605883234	531355305	160469	170922_NB501039_0173_AHLMHHBGX3	nextseq_umc02
1	136496955	100.0	98.01	1.99	41222	89.29	84.22	32.53	611955361	540783200	163317	171002_NB501039_0177_AHLMJNBGX3	nextseq_umc02
2	132932760	100.0	97.44	2.56	40146	87.82	82.85	32.22	611955361	540783200	163317	171002_NB501039_0177_AHLMJNBGX3	nextseq_umc02
3	138124414	100.0	97.91	2.09	41714	88.58	83.3	32.34	611955361	540783200	163317	171002_NB501039_0177_AHLMJNBGX3	nextseq_umc02
4	133229071	100.0	97.45	2.55	40235	87.78	82.77	32.21	611955361	540783200	163317	171002_NB501039_0177_AHLMJNBGX3	nextseq_umc02
1	134626842	100.0	98.43	1.57	40657	90.47	85.03	32.69	590917051	534116276	161303	171004_NB501039_0178_AHMJN3BGX3	nextseq_umc02
2	130226944	100.0	98.17	1.83	39329	90.18	84.73	32.61	590917051	534116276	161303	171004_NB501039_0178_AHMJN3BGX3	nextseq_umc02
3	135391347	100.0	98.45	1.55	40888	90.74	84.57	32.61	590917051	534116276	161303	171004_NB501039_0178_AHMJN3BGX3	nextseq_umc02
4	133871143	100.0	98.11	1.89	40429	90.15	84.49	32.58	590917051	534116276	161303	171004_NB501039_0178_AHMJN3BGX3	nextseq_umc02
